timestamp_utc,scenario,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result
2026-07-30T22:36:02+00:00,malicious_systemd_persistence,PASS,17.34,FAIL,17.27,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,34.62,FAILED_EVIDENCE_CAPTURE
2026-07-30T22:59:04+00:00,malicious_systemd_persistence,FAIL,56.02,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,56.02,NO_RECOVERY_TRIGGERED
2026-08-03T13:53:26+00:00,malicious_systemd_persistence,PASS,18.69,FAIL,14.96,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,,NOT_RUN,,NOT_RUN,,NOT_RUN,,UNKNOWN,UNKNOWN,UNKNOWN,NOT_RUN,NOT_RUN,UNKNOWN,UNKNOWN,UNKNOWN,33.65,FAILED_EVIDENCE_CAPTURE
2026-08-03T13:57:30+00:00,malicious_systemd_persistence,PASS,18.01,PASS,13.28,10,10,100.0,PASS,76.66,PASS,75.6,PASS,108.06,PASS,395.29,6,6,100.0,PASS,PASS,386.95,0/6,0.0,686.9,PASS
2026-08-05T14:28:35+00:00,malicious_systemd_persistence,PASS,22.0,PASS,14.67,10,10,100.0,PASS,80.56,PASS,84.83,PASS,154.88,PASS,652.32,6,6,100.0,PASS,PASS,630.7,0/6,0.0,1009.26,PASS
2026-08-05T14:51:07+00:00,malicious_systemd_persistence,PASS,20.67,PASS,16.2,10,10,100.0,PASS,70.42,PASS,57.34,PASS,121.36,PASS,351.59,6,6,100.0,PASS,PASS,343.25,0/6,0.0,637.59,PASS
2026-08-05T15:30:04+00:00,malicious_systemd_persistence,PASS,21.25,PASS,18.05,10,10,100.0,PASS,85.42,PASS,67.93,PASS,129.26,PASS,686.49,6,6,100.0,PASS,PASS,671.37,0/6,0.0,1008.41,PASS
2026-08-05T15:50:31+00:00,malicious_systemd_persistence,PASS,22.35,PASS,18.96,10,10,100.0,PASS,81.12,PASS,71.91,PASS,167.47,PASS,703.29,6,6,100.0,PASS,PASS,691.18,0/6,0.0,1065.11,PASS
