run_id,category,data_quality,scenario,scenario_label,timestamp_utc,source_file,source_row,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,credential_rotation,credential_rotation_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,new_key_success,old_key_denied,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result,inclusion_reason
stolen_trusted_ssh_key_01,SUPPLEMENTARY,SUPPLEMENTARY_REPEATED,stolen_trusted_ssh_key,Stolen trusted SSH private key,2026-07-26T18:36:06+00:00,ssh_key_recovery_orchestrator_results.csv,17,PASS,12.78,PASS,20.13,,,,PASS,72.85,PASS,56.26,PASS,0.2,PASS,123.54,PASS,16.57,,,,PASS,,,PASS,PASS,0/1,0,321.08,PASS,Clean supplementary credential-compromise recovery run.
stolen_trusted_ssh_key_02,SUPPLEMENTARY,SUPPLEMENTARY_REPEATED,stolen_trusted_ssh_key,Stolen trusted SSH private key,2026-07-26T20:18:26+00:00,ssh_key_recovery_orchestrator_results.csv,21,PASS,12.87,PASS,19.75,,,,PASS,70.29,PASS,59.34,PASS,0.19,PASS,186.64,PASS,13.64,,,,PASS,,,PASS,PASS,0/1,0,381.08,PASS,Clean supplementary credential-compromise recovery run.
