timestamp_utc,scenario,wazuh_detection,detection_check_duration_seconds,evidence_capture,evidence_capture_duration_seconds,evidence_items_required,evidence_items_captured,evidence_completeness_percentage,quarantine,quarantine_duration_seconds,stale_agent_cleanup,stale_agent_cleanup_duration_seconds,replacement_recovery,replacement_duration_seconds,post_recovery_validation,validation_duration_seconds,validation_indicators_total,validation_indicators_passed,validation_success_percentage,monitoring_restored,fim_realtime_ready,monitoring_restoration_duration_seconds,residual_compromise_count,residual_compromise_score,total_duration_seconds,final_result
2026-08-05T17:17:47+00:00,unexpected_listener,PASS,17.29,PASS,17.58,7,7,100.0,PASS,80.15,PASS,66.66,PASS,148.11,PASS,724.04,4,4,100.0,PASS,PASS,710.73,0/4,0.0,1053.84,PASS
2026-08-05T17:46:53+00:00,unexpected_listener,PASS,16.91,PASS,17.95,7,7,100.0,PASS,74.85,PASS,71.31,PASS,119.74,PASS,788.47,4,4,100.0,PASS,PASS,768.19,0/4,0.0,1089.24,PASS
2026-08-05T18:33:36+00:00,unexpected_listener,PASS,17.6,PASS,18.08,7,7,100.0,PASS,78.32,PASS,67.93,PASS,162.26,PASS,742.35,4,4,100.0,PASS,PASS,728.72,0/4,0.0,1086.55,PASS
2026-08-05T19:02:27+00:00,unexpected_listener,PASS,16.7,PASS,16.89,7,7,100.0,PASS,81.38,PASS,67.29,PASS,108.66,FAIL,31.77,4,0,0.0,FAIL,NOT_RUN,UNKNOWN,4/4,1.0,322.7,FAIL
2026-08-05T19:24:55+00:00,unexpected_listener,PASS,16.73,PASS,17.12,7,7,100.0,PASS,81.0,PASS,66.66,PASS,134.11,PASS,683.37,4,4,100.0,PASS,PASS,672.86,0/4,0.0,998.99,PASS
2026-08-05T19:46:18+00:00,unexpected_listener,PASS,16.1,PASS,18.04,7,7,100.0,PASS,75.06,PASS,66.78,PASS,119.38,PASS,740.39,4,4,100.0,PASS,PASS,727.93,0/4,0.0,1035.75,PASS
